Attribute Key                                                       ;Description                                                                              ;Family Full Name
TD2B-03                                                             ;Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door   ;TD2B-03 - Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door
TD2B-04                                                             ;Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door   ;TD2B-04 - Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door
TD2B-05                                                             ;Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door   ;TD2B-05 - Double Equal Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door
TD2B-06                                                             ;Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door                        ;TD2B-06 - Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door
TD2B-07                                                             ;Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door   ;TD2B-07 - Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door
TD2B-08                                                             ;Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door   ;TD2B-08 - Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door
TD2B-09                                                             ;Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door   ;TD2B-09 - Double Equal Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door

TD3A Series - Double Unequal Leaf, Single Rabbet Frame Timber Doors
TD3A-01                                                             ;Double Unequal Leaf, Single Rabbet Frame Timber Door                                     ;TD3A-01 - Double Unequal Leaf, Single Rabbet Frame Timber Door
TD3A-02                                                             ;Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door                      ;TD3A-02 - Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door
TD3A-03                                                             ;Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door ;TD3A-03 - Double Unequal Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door
